PITCHERS,Team,G,GS,IP,W,L,SV,H,BB,K,ER,ERA,WHIP
"Meyer,  Dan",FLA,13,0,9.3,0,1,0,15,12,4,10,9.643,2.893
"Mickolio,  Kam",BAL,3,0,3.7,0,0,0,5,3,4,3,7.364,2.182
"Mijares,  Jose",MIN,47,0,32.7,1,1,0,34,9,28,12,3.306,1.316
"Miller,  Andrew",FLA,9,7,32.7,1,5,0,51,26,28,31,8.541,2.357
"Miller,  Justin",LAD,19,0,24.3,0,0,0,22,8,30,12,4.438,1.233
"Miller,  Trever",STL,57,0,36.0,0,1,0,30,16,22,16,4.000,1.278
"Mills,  Brad",TOR,7,3,22.3,1,0,0,20,13,18,14,5.642,1.478
"Millwood,  Kevin",BAL,31,31,190.7,4,16,0,223,65,132,108,5.098,1.510
"Misch,  Patrick",NYM,12,6,37.7,0,4,0,43,4,23,16,3.823,1.248
"Mitre,  Sergio",NYY,27,3,54.0,0,3,1,43,16,29,20,3.333,1.093
"Mock,  Garrett",WSH,1,1,3.3,0,0,0,4,5,3,2,5.400,2.700
"Moehler,  Brian",HOU,20,8,56.7,1,4,0,66,26,28,31,4.924,1.624
"Monasterios,  Carlos",LAD,32,13,88.3,3,5,0,99,29,52,43,4.381,1.449
"Morales,  Franklin",COL,35,0,28.7,0,4,3,28,24,27,20,6.279,1.814
"Morrow,  Brandon",TOR,26,26,146.3,10,7,0,136,66,178,73,4.490,1.380
"Mortensen,  Clayton",OAK,1,1,6.0,0,0,0,6,2,7,3,4.500,1.333
"Morton,  Charlie",PIT,16,16,73.7,2,11,0,106,23,56,65,7.941,1.751
"Moscoso,  Guillermo",TEX,1,0,0.7,0,0,0,2,2,2,2,26.999,6.000
"Moseley,  Dustin",NYY,16,9,65.3,4,4,0,66,27,33,36,4.959,1.423
"Mota,  Guillermo",SF,56,0,54.0,1,3,1,49,22,38,26,4.333,1.315
"Motte,  Jason",STL,56,0,52.3,4,2,2,41,18,54,13,2.236,1.127
"Moyer,  Jamie",PHI,19,19,111.7,9,9,0,103,20,63,60,4.836,1.101
"Moylan,  Peter",ATL,84,0,62.3,6,2,1,52,36,52,21,3.032,1.412
"Mujica,  Edward",SD,59,0,69.7,2,1,0,59,6,72,28,3.617,0.933
"Mulvey ,  Kevin",AZ,2,0,3.0,0,0,0,5,2,1,2,6.000,2.333
"Myers,  Brett",HOU,33,33,223.7,14,8,0,212,66,180,78,3.139,1.243
"Narveson,  Chris",MIL,37,28,167.7,12,9,0,172,59,137,93,4.992,1.378
"Nelson,  Joe",FA,8,0,8.3,0,0,0,14,6,9,9,9.720,2.400
"Neshek,  Pat",MIN,11,0,9.0,0,1,0,7,8,9,5,5.000,1.667
"Ni,  Fu-Te",DET,22,0,23.0,0,1,0,27,19,22,17,6.652,2.000
"Niemann,  Jeff",TB,30,29,174.3,12,8,0,159,61,131,85,4.388,1.262
"Niese,  Jon",NYM,30,30,173.7,9,10,0,192,62,148,81,4.198,1.463
"Nieve,  Fernando",NYM,40,1,42.0,2,4,0,37,22,38,28,6.000,1.405
